,Dis No,Year,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,River Basin,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Reconstruction Costs, Adjusted ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages, Adjusted ('000 US$)",Geo Locations,Start Date,End Date,Location List,mentions_1,mentions_2,mentions_3
0,2016-0175-BGD,2016.0,TC-2016-000052,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Roanu,Bangladesh,BGD,Southern Asia,Asia,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",,Flood,"Slide (land, mud, snow, rock)",,,,,Kph,,,,28.0,,1083855.0,119700.0,1203555.0,,,731615.0,"Barguna, Bhola, Chandpur, Cox's Bazar, Lakshmipur, Noakhali, Patuakhali (Adm2). ",2016-05-21,2016-05-21,"['Barisal', 'Noakhali', 'Lakshmipur', 'Chandpur', 'Chittagong', 'Cox’s Bazar', 'Bhola', 'Barguna', 'Patuakhali']",4.0,0.0,0.0
1,2016-0117-ECU,2016.0,EQ-2016-000035,Natural,Geophysical,Earthquake,Ground movement,,,Ecuador,ECU,South America,Americas,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",,,"Slide (land, mud, snow, rock)",,Yes,44992.0,8.0,Richter,0.382,-79.92,,672.0,6274.0,383090.0,,389364.0,4077535.0,682841.0,2438717.0,"Los Rios, Santa Elena, Santo Domingo de los Tsachilas (Adm1). Guayaquil, Muisne, Portoviejo (Adm2). ",2016-04-16,2016-04-16,"['Guayaquil district', 'Guayas province', 'Muisne district', 'Esmeraldas province', 'Portoviejo district', 'Manabi province', 'Santo Domingo de los Tsachilas', 'Los Ríos', 'Santa Elena provinces']",0.0,5.0,71.0
2,2016-0095-CHN,2016.0,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",Hail,,,,383224.0,Km2,24.704,113.991,,5.0,,216000.0,3300.0,219300.0,,,207291.0,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng (Adm1). ",2016-03-19,2016-03-22,"['Jiangxi Sheng', 'Hunan Sheng', 'Guangdong Sheng', 'Guangxi Zhuangzu Zizhiqu', 'Guizhou Sheng provinces']",0.0,0.0,21.0
3,2016-0137-CHN,2016.0,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Anhui, Hubei, Fujian, Zhejiang, Jiangxi, Hunan, Guangxi, Yunnan, Guangdong, Guizhou",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,,,Km2,,,Yangtze river,20.0,,48000.0,,48000.0,,,118278.0,"Anhui Sheng, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). ",2016-04-20,2016-04-28,"['Anhui', 'Hubei', 'Fujian', 'Zhejiang', 'Jiangxi', 'Hunan', 'Guangxi', 'Yunnan', 'Guangdong', 'Guizhou']",0.0,0.0,49.0
4,2016-0041-FJI,2016.0,TC-2016-000014,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Winston,Fiji,FJI,Melanesia,Oceania,"Savusavu (Cakaudrove district, Northern province, Vanua Levu Isl. and Taveuni Isl.), Bua, Macuata districts (Northern province, Vanua Levu Isl.), Western, Central provinces (Viti Levu, Yasawa, Mamanuca Isl.), Lau district (Eastern province, Vanua Balavu, Nayau Isl.), Lomaiviti district (Eastern province, Koro Isl.)",,Flood,Surge,Yes,Yes,41862.0,325.0,Kph,,,,45.0,144.0,540414.0,,540558.0,,60968.0,731615.0,"Ba, Bua, Cakaudrove, Lau, Lomaiviti, Macuata, Nadroga & Navosa, Naitasiri, Namosi, Ra, Rewa, Serua, Tailevu (Adm2). ",2016-02-20,2016-02-21,"['Savusavu', 'Cakaudrove district', 'Northern province', 'Vanua Levu Isl. and Taveuni Isl.', 'Bua', 'Macuata districts', 'Northern province', 'Vanua Levu Isl.', 'Western', 'Central provinces', 'Viti Levu', 'Yasawa', 'Mamanuca Isl.', 'Lau district', 'Eastern province', 'Vanua Balavu', 'Nayau Isl.', 'Lomaiviti district', 'Eastern province', 'Koro Isl.']",23.0,24.0,0.0
5,2016-0112-AFG,2016.0,FL-2016-000021,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Daykundi, Ghazni, Uruzgan provinces",,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,30.0,,,,,,,,"Daykundi, Ghazni, Uruzgan (Adm1). ",2016-04-02,2016-04-08,"['Daykundi', 'Ghazni', 'Uruzgan provinces']",0.0,0.0,9.0
6,2016-0191-AFG,2016.0,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,6.0,,,,,,,,"Baharak, Darayem, Shuhada, Teshkan (Adm2). ",2016-05-09,2016-05-12,"['Badakhshan', 'Tashkan', 'Baharak', 'Darayem', 'Shahada districts']",0.0,0.0,3.0
7,2016-0246-BOL,2016.0,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,190581.0,Km2,-12.843,-64.93,,,,120.0,,120.0,,,,"Arani, Bautista Saavedra, Camacho, Carrasco, Franz Tamayo, Murillo, Nor Yungas, Sur Yungas (Adm2). ",2016-02-28,2016-03-03,"['Sur Yungas', 'Nor Yungas', 'Camacho', 'Bautista Saavedra districts', 'La Paz province', 'Apolo municipality', 'Franz Tamayo district', 'La Paz province', 'Achocalla municipality', 'Murillo district', 'La Paz province', 'Puerto Villaroel municipality', 'Carrasco district', 'Cochabamba province', 'Arani district', 'Cochabamba province']",0.0,0.0,0.0
8,2016-0077-BRA,2016.0,,Natural,Hydrological,Flood,Flash flood,,,Brazil,BRA,South America,Americas,"Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province",Torrential arins,"Slide (land, mud, snow, rock)",,,,,,Km2,,,Pinheiros,30.0,,,,,,,121936.0,"Rio De Janeiro (Adm1). Cajamar, Francisco Morato, Guarulhos, Itapevi, Mairipora (Adm2). ",2016-03-10,2016-03-11,"['Mairipora', 'Francisco Morato', 'Itapevi', 'Guarulhos', 'Cajamar districts', 'Sao Paulo province', 'Rio de Janeiro province']",0.0,0.0,16.0
9,2016-0241-CHN,2016.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",Heavy rains,"Slide (land, mud, snow, rock)",,,,,720844.0,Km2,27.976,114.24,Yangtze river,289.0,,60000000.0,,60000000.0,,526763.0,26825889.0,"Anhui Sheng, Chongqing Shi, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). ",2016-06-28,2016-07-13,"['Jiangsu', 'Anhui', 'Jiangxi', 'Henan', 'Hubei', 'Hunan', 'Guangxi', 'Chogqing', 'Sichuan', 'Guizhou', 'Yunnan']",0.0,5.0,72.0
